,pokemon1,pokemon2,pokemon3,url,rating
155,Mew,Snorlax1488,GranbullCC,https://pvpoke.com/team-builder/all/1500/mew-m-8-9-0%2Csnorlax-m-0-4-0%2Cgranbull-m-0-1-0,832
156,Mew,Galvantula1474,GranbullCC,https://pvpoke.com/team-builder/all/1500/mew-m-8-9-0%2Cgalvantula-m-1-4-0%2Cgranbull-m-0-1-0,825
157,Lapras1450,Mew,GranbullCC,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Cmew-m-8-9-0%2Cgranbull-m-0-1-0,816
158,Hariyama1475,Mew,Snorlax1488,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Cmew-m-8-9-0%2Csnorlax-m-0-4-0,807
159,Hariyama1475,Mew,Galvantula1474,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Cmew-m-8-9-0%2Cgalvantula-m-1-4-0,805
160,Lapras1450,Hariyama1475,Mew,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Chariyama-m-1-1-3%2Cmew-m-8-9-0,791
161,Mew,Snorlax1488,Galvantula1474,https://pvpoke.com/team-builder/all/1500/mew-m-8-9-0%2Csnorlax-m-0-4-0%2Cgalvantula-m-1-4-0,829
162,Lapras1450,Mew,Snorlax1488,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Cmew-m-8-9-0%2Csnorlax-m-0-4-0,821
163,Lapras1450,Mew,Galvantula1474,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Cmew-m-8-9-0%2Cgalvantula-m-1-4-0,813
164,Skaromry1489,Toxicroak,alolan_raichu,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Ctoxicroak-m-0-2-0%2Craichu_alolan-m-0-3-0,775
165,Skaromry1489,Toxicroak,GranbullCC,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Ctoxicroak-m-0-2-0%2Cgranbull-m-0-1-0,772
166,Skaromry1489,Toxicroak,Hariyama1475,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Ctoxicroak-m-0-2-0%2Chariyama-m-1-1-3,774
167,Skaromry1489,Toxicroak,Snorlax1488,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Ctoxicroak-m-0-2-0%2Csnorlax-m-0-4-0,773
168,Skaromry1489,Toxicroak,Galvantula1474,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Ctoxicroak-m-0-2-0%2Cgalvantula-m-1-4-0,764
169,Lapras1450,Skaromry1489,Toxicroak,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Cskarmory-m-0-3-0%2Ctoxicroak-m-0-2-0,770
170,Skaromry1489,alolan_raichu,GranbullCC,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Craichu_alolan-m-0-3-0%2Cgranbull-m-0-1-0,800
171,Skaromry1489,Hariyama1475,alolan_raichu,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Chariyama-m-1-1-3%2Craichu_alolan-m-0-3-0,759
172,Skaromry1489,Snorlax1488,alolan_raichu,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Csnorlax-m-0-4-0%2Craichu_alolan-m-0-3-0,805
173,Skaromry1489,alolan_raichu,Galvantula1474,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Craichu_alolan-m-0-3-0%2Cgalvantula-m-1-4-0,802
174,Lapras1450,Skaromry1489,alolan_raichu,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Cskarmory-m-0-3-0%2Craichu_alolan-m-0-3-0,798
175,Skaromry1489,Hariyama1475,GranbullCC,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Chariyama-m-1-1-3%2Cgranbull-m-0-1-0,747
176,Skaromry1489,Snorlax1488,GranbullCC,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Csnorlax-m-0-4-0%2Cgranbull-m-0-1-0,810
177,Skaromry1489,Galvantula1474,GranbullCC,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Cgalvantula-m-1-4-0%2Cgranbull-m-0-1-0,799
178,Lapras1450,Skaromry1489,GranbullCC,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Cskarmory-m-0-3-0%2Cgranbull-m-0-1-0,803
179,Skaromry1489,Hariyama1475,Snorlax1488,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Chariyama-m-1-1-3%2Csnorlax-m-0-4-0,759
180,Skaromry1489,Hariyama1475,Galvantula1474,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Chariyama-m-1-1-3%2Cgalvantula-m-1-4-0,739
181,Lapras1450,Skaromry1489,Hariyama1475,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Cskarmory-m-0-3-0%2Chariyama-m-1-1-3,769
182,Skaromry1489,Snorlax1488,Galvantula1474,https://pvpoke.com/team-builder/all/1500/skarmory-m-0-3-0%2Csnorlax-m-0-4-0%2Cgalvantula-m-1-4-0,806
183,Lapras1450,Skaromry1489,Snorlax1488,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Cskarmory-m-0-3-0%2Csnorlax-m-0-4-0,806
184,Lapras1450,Skaromry1489,Galvantula1474,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Cskarmory-m-0-3-0%2Cgalvantula-m-1-4-0,800
185,Toxicroak,alolan_raichu,GranbullCC,https://pvpoke.com/team-builder/all/1500/toxicroak-m-0-2-0%2Craichu_alolan-m-0-3-0%2Cgranbull-m-0-1-0,807
186,Hariyama1475,Toxicroak,alolan_raichu,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Ctoxicroak-m-0-2-0%2Craichu_alolan-m-0-3-0,804
187,Toxicroak,Snorlax1488,alolan_raichu,https://pvpoke.com/team-builder/all/1500/toxicroak-m-0-2-0%2Csnorlax-m-0-4-0%2Craichu_alolan-m-0-3-0,805
188,Toxicroak,alolan_raichu,Galvantula1474,https://pvpoke.com/team-builder/all/1500/toxicroak-m-0-2-0%2Craichu_alolan-m-0-3-0%2Cgalvantula-m-1-4-0,808
189,Lapras1450,Toxicroak,alolan_raichu,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Ctoxicroak-m-0-2-0%2Craichu_alolan-m-0-3-0,786
190,Hariyama1475,Toxicroak,GranbullCC,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Ctoxicroak-m-0-2-0%2Cgranbull-m-0-1-0,805
191,Toxicroak,Snorlax1488,GranbullCC,https://pvpoke.com/team-builder/all/1500/toxicroak-m-0-2-0%2Csnorlax-m-0-4-0%2Cgranbull-m-0-1-0,807
192,Toxicroak,Galvantula1474,GranbullCC,https://pvpoke.com/team-builder/all/1500/toxicroak-m-0-2-0%2Cgalvantula-m-1-4-0%2Cgranbull-m-0-1-0,804
193,Lapras1450,Toxicroak,GranbullCC,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Ctoxicroak-m-0-2-0%2Cgranbull-m-0-1-0,780
194,Hariyama1475,Toxicroak,Snorlax1488,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Ctoxicroak-m-0-2-0%2Csnorlax-m-0-4-0,803
